Exchange,Name,"Root
Ticker",YF Corresponding Ticker," Market Cap (C$)
30-April-2025 "," O/S Shares
30-April-2025 ",Sector,"Sub
Sector","HQ
Location","HQ
Region",Listing Type,Listing Date,Interlisted I,Interlisted II,"Trading 
on OTC","TSX 
Venture 
Grad","Former
CPC",S&P/TSX Index,2024 TSX30,Clean Technology Primary Industry,Clean Technology Sub-Sector,"Consumer Products & Services
Sub-Sector",Life Sciences Sub-Sector,Real Estate Sub-Sector ,Technology Sub-Sector ,USA City,Asia Region,Israel Related,Fund Family/Issuing Entity,SP_Type,SP_Sub," Volume YTD
30-April-2025 "," Value (C$) YTD
30-April-2025 "," Number of 
Trades YTD
30-April-2025 "," Number of
Months of 
Trading Data "
TSX,2028 Investment Grade Bond Trust,IGBT,IGBT.TO,"33,297,027","3,274,044", Closed-End Funds ,,ON,Canada,IPO,20231221,,,,,,,,,,,,,,,,,Next Edge Capital Corp.,Fund of Debt,FI Trust,"355,456","3,645,098",505,4
TSX,3iQ Bitcoin ETF,BTCQ,BTCQ.TO,"233,161,965","15,648,454", ETP ,Blockchain/Cryptocurrency,ON,Canada,IPO,20210419,,,,,,,,,,,,,,,,,3iQ,Exchange Traded Funds,,"1,645,887","33,564,648","5,193",4
TSX,3iQ Ether Staking ETF,ETHQ,ETHQ.TO,"40,471,082","5,740,579", ETP ,Blockchain/Cryptocurrency,ON,Canada,IPO,20210423,,,,,,,,,,,,,,,,,3iQ,Exchange Traded Funds,,"1,292,706","17,303,443","4,320",4
TSX,3iQ Solana Staking ETF,SOLQ,SOLQ.TO,"211,146,000","15,600,000", ETP ,Blockchain/Cryptocurrency,ON,Canada,IPO,20250416,,,,,,,,,,,,,,,,,3iQ,Exchange Traded Funds,,"658,591","9,378,938","1,861",1
TSX,5N Plus Inc.,VNP,VNP.TO,"591,244,199","89,042,801", Clean Technology & Renewable Energy ,,QC,Canada,IPO,20071219,,,,,,,,Industrial Products & Services,Renewable Energy Equipment Manufacturing and Tech,,,,,,,,,,,"27,065,247","174,923,294","64,826",4
TSX,A & W Food Services of Canada Inc.,AW,AW.TO,"772,728,548","23,997,781", Consumer Products & Services ,,BC,Canada,Other,20241018,,,,,,,,,,Consumer Discretionary,,,,,,,,,,"1,311,626","43,461,347","8,994",4
TSX,Aberdeen International Inc.,AAB,AAB.TO,"6,387,491","159,687,282", Financial Services ,,ON,Canada,TSXV Grad,20080130,,,,Y,,,,,,,,,,,,,,,,"6,086,395","210,736",242,4
TSX,AbraSilver Resource Corp.,ABRA,ABRA.TO,"486,417,883","153,444,127", Mining ,,ON,Canada,TSXV Grad,20250227,,,OTCQX,Y,,,,,,,,,,,,,,,,"10,906,646","33,868,955","24,713",3
TSX,abrdn Asia-Pacific Income Fund VCC,FAP,FAP.TO,"95,224,492","33,295,277", Closed-End Funds ,,PA,USA,,19860611,,,,,,,,,,,,,,Philadelphia,,,Aberdeen,Fund of Debt,FI Trust,"5,125,578","14,737,875","3,433",4
TSX,Acadian Timber Corp.,ADN,ADN.TO,"310,457,816","17,976,712", Industrial Products & Services ,Forest Products & Paper,BC,Canada,IPO,20060130,,,,,,,,,,,,,,,,,,,,"573,461","9,913,849","3,651",4
TSX,Accelerate Absolute Return Fund,HDGE,HDGE.TO,"42,619,500","1,650,000", ETP ,,AB,Canada,IPO,20190510,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,,"248,607","5,886,234",433,4
TSX,Accelerate Arbitrage Fund,ARB,ARB.TO,"24,901,000","925,000", ETP ,,AB,Canada,IPO,20200407,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,,"129,799","3,425,873",264,4
TSX,Accelerate Canadian Long Short Equity Fund,ATSX,ATSX.TO,"2,735,000","100,000", ETP ,,AB,Canada,IPO,20190510,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,,"4,186","113,554",23,4
TSX,Accelerate Diversified Credit Income Fund,INCM,INCM.TO,"40,365,000","3,250,000", ETP ,,AB,Canada,IPO,20240515,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,,"719,394","13,066,593","1,055",4
TSX,Accelerate OneChoice Alternative Multi-Asset Fund,ONEC,ONEC.TO,"16,191,000","700,000", ETP ,,AB,Canada,IPO,20210127,,,,,,,,,,,,,,,,,Accelerate,Exchange Traded Funds,,"65,886","1,544,845",117,4
TSX,Accord Financial Corp.,ACD,ACD.TO,"49,533,479","8,765,413", Financial Services ,,ON,Canada,,19920617,,,,,,,,,,,,,,,,,,,,"115,372","1,169,331",479,4
TSX,Aclara Resources Inc.,ARA,ARA.TO,"174,170,237","217,712,796", Mining ,,Chile,Latin America,IPO,20211210,,,,,,,,,,,,,,,,,,,,"4,698,367","2,716,743","1,581",4
TSX,ACT Energy Technologies Ltd.,ACX,ACX.TO,"163,506,411","33,712,662", Industrial Products & Services ,Energy Services,AB,Canada,,19870925,,,,,,,,,,,,,,,,,,,,"6,153,594","36,614,179","10,378",4
TSX,Adcore Inc.,ADCO,ADCO.TO,"16,343,942","60,533,119", Technology ,,Israel,Other,TSXV Grad,20210304,,,OTCQX,Y,Y,,,,,,,,Internet Software & Services,,,Y,,,,"4,806,506","1,367,464","1,197",4
TSX,ADENTRA Inc.,ADEN,ADEN.TO,"674,892,604","24,986,768", Industrial Products & Services ,,BC,Canada,IPO,20040322,,,,,,,,,,,,,,,,,,,,"5,343,542","165,845,753","33,677",4
TSX,ADF Group Inc.,DRX,DRX.TO,"101,247,784","16,652,596", Industrial Products & Services ,,QC,Canada,,19990720,,,,,,,,,,,,,,,,,,,,"8,744,768","67,432,041","37,606",4
TSX,Advanced Micro Devices CDR (CAD Hedged),AMD,AMD.TO,"199,947,000","10,950,000", ETP ,,ON,Canada,Other,20250205,,,,,,,,,,,,,,,,,CIBC,CDR,,"8,791,837","164,799,183","26,382",3
TSX,Advantage Energy Ltd.,AAV,AAV.TO,"1,784,439,232","168,732,110", Oil & Gas ,,AB,Canada,,20010529,,,,,,Composite,,,,,,,,,,,,,,"42,095,945","419,685,078","203,199",4
TSX,Aecon Group Inc.,ARE,ARE.TO,"1,015,470,615","62,916,395", Industrial Products & Services ,,ON,Canada,,19871231,,,,,,Composite,,,,,,,,,,,,,,"40,174,648","811,688,333","193,102",4
TSX,Aegis Brands Inc.,AEG,AEG.TO,"28,997,637","85,287,167", Consumer Products & Services ,,ON,Canada,IPO,20041201,,,,,,,,,,Consumer Discretionary,,,,,,,,,,"483,249","173,906",259,4
TSX,Africa Oil Corp.,AOI,AOI.TO,"1,214,412,169","674,673,427", Oil & Gas ,,BC,Canada,TSXV Grad,20140506,Nasdaq Nordic,,,Y,,,,,,,,,,,,,,,,"48,285,067","92,460,226","81,430",4
TSX,AG Growth International Inc.,AFN,AFN.TO,"933,377,151","21,695,025", Industrial Products & Services ,Agriculture,MB,Canada,,20040517,,,,,,,,,,,,,,,,,,,,"9,336,267","376,059,950","62,056",4
TSX,AGF Management Limited,AGF,AGF.TO,"670,161,726","65,317,907", Financial Services ,,ON,Canada,,19680819,,,,,,,,,,,,,,,,,,,,"5,830,928","61,416,516","29,356",4
TSX,AGF US Market Neutral Anti-Beta CAD-Hedged ETF,QBTL,QBTL.TO,"247,045,500","11,700,000", ETP ,,ON,Canada,IPO,20191007,,,,,,,,,,,,,,,,,AGFiQ,Exchange Traded Funds,,"3,002,425","64,329,776",518,4
